name,pos,rank,value
P.J. Washington,SF/PF,159,0
Precious Achiuwa,PF/C,160,0
Mikel Brown Jr.,PG,161,0
T.J. McConnell,PG,162,0
Keaton Wagler,PG/SG,163,0
Bennedict Mathurin,SG/SF,164,0
Bobby Portis,PF/C,165,0
Moussa Diabate,PF/C,166,0
Jamal Shead,PG,167,0
Grayson Allen,PG/SG,168,0
Tim Hardaway Jr.,SG/SF,169,0
Scoot Henderson,PG/SG,170,0
Yaxel Lendeborg,SF/PF,171,0
Morez Johnson Jr.,PF/C,172,0
Alex Caruso,PG/SG,173,0
Wendell Carter Jr.,C,174,0
Dennis Schroder,PG,175,0
Yves Missi,C,176,0
Ryan Kalkbrenner,C,177,0
Santi Aldama,SF/PF,178,0
Bub Carrington,PG/SG,179,0
Isaiah Collier,PG,180,0
Duncan Robinson,SG/SF,181,0
Deandre Ayton,C,182,0
Royce O'Neale,SF/PF,183,0
Max Christie,SG,184,0
GG Jackson,PF,185,0
Collin Murray-Boyles,PF,186,0
Bradley Beal,SG/SF,187,0
Robert Williams III,C,188,0
Jaylon Tyson,SG/SF,189,0
Kyle Kuzma,SF/PF,190,0
Kingston Flemings,PG/SG,191,0
Brayden Burries,SG,192,0
Danny Wolf,PF/C,193,0
Kevin Huerter,SG/SF,194,0
Aaron Nesmith,SG/SF,195,0
Naji Marshall,SF/PF,196,0
Bilal Coulibaly,SG/SF,197,0
De'Anthony Melton,PG/SG,198,0
Kelly Oubre Jr.,SG/SF,199,0
De'Andre Hunter,SF/PF,200,0
Sam Hauser,SF/PF,201,0
Anfernee Simons,PG/SG,202,0
Tari Eason,SF/PF,203,0
Walter Clayton Jr.,PG/SG,204,0
Luguentz Dort,SG/SF,205,0
Rui Hachimura,SF/PF,206,0
Jimmy Butler III,SG/SF,207,0
Christian Braun,SG/SF,208,0
Max Strus,SF,209,0
Kris Dunn,PG/SG,210,0
Vit Krejci,PG,211,0
Brice Sensabaugh,SG/SF,212,0
Jalen Smith,PF/C,213,0
Jordan Poole,PG/SG,214,0
Isaiah Joe,SG,215,0
Khaman Maluach,C,216,0
Derrick Jones Jr.,SF/PF,217,0
Nique Clifford,SG/SF,218,0
Luke Kennard,SG,219,0
Al Horford,PF/C,220,0
Gradey Dick,SG/SF,221,0
Jared McCain,PG/SG,222,0
Herbert Jones,SF/PF,223,0
Nolan Traore,PG,224,0
Tre Johnson,SG,225,0
Aaron Wiggins,SG/SF,226,0
Ajay Mitchell,PG/SG,227,0
Baylor Scheierman,SG,228,0
Isaiah Jackson,PF/C,229,0
Zaccharie Risacher,SF,230,0
Obi Toppin,PF,231,0
Jaylen Wells,SG/SF,232,0
Klay Thompson,SG/SF,233,0
Ryan Dunn,SF/PF,234,0
Nikola Jovic,PF,235,0
Kasparas Jakucionis,PG,236,0
Jaylin Williams,PF/C,237,0
Marvin Bagley III,PF/C,238,0
Jordan Walsh,SF,239,0
Tristan da Silva,SF/PF,240,0
Keon Ellis,SG/SF,241,0
Gui Santos,SF,242,0
AJ Green,SG,243,0
Paul Reed,PF/C,244,0
Jose Alvarado,PG,245,0
Jeremy Sochan,PF,246,0
Miles McBride,PG/SG,247,0
Ziaire Williams,SG/SF,248,0
Ronald Holland II,SF/PF,249,0
Marcus Smart,PG/SG,250,0
Harrison Barnes,SF/PF,251,0
Terance Mann,SG/SF,252,0
Andre Drummond,C,253,0
Hannes Steinbach,PF,254,0
Sam Merrill,SG,255,0
Ja'Kobe Walter,SG,256,0
Luke Kornet,C,257,0
Clint Capela,C,258,0
Kentavious Caldwell-Pope,SG/SF,259,0
Trayce Jackson-Davis,PF,260,0
Caris LeVert,SG/SF,261,0
Hugo Gonzalez,SF,262,0
Matisse Thybulle,SF,263,0
Rob Dillingham,PG,264,0
Goga Bitadze,C,265,0
Kyle Anderson,SF/PF,266,0
Khris Middleton,SF/PF,267,0
Simone Fontecchio,SF,268,0
Corey Kispert,SG/SF,269,0
Olivier-Maxence Prosper,PF,270,0
Jamal Cain,SF,271,0
Noah Clowney,PF,272,0
Bogdan Bogdanovic,SG/SF,273,0
Bones Hyland,PG,274,0
Adem Bona,C,275,0
Jaxson Hayes,C,276,0
Larry Nance Jr.,PF,277,0
Buddy Hield,SG/SF,278,0
Jarace Walker,SF/PF,279,0
Isaac Okoro,SG/SF,280,0
Cody Williams,SG,281,0
Patrick Williams,PF,282,0
Terrence Shannon Jr.,SG,283,0
Tristan Vukcevic,PF,284,0
Grant Williams,PF,285,0
Trey Lyles,PF,286,0
Kevon Looney,C,287,0
Landry Shamet,SG,288,0
Mouhamed Gueye,PF,289,0
Jordan Clarkson,SG/SF,290,0
Kris Murray,PF,291,0
Gary Trent Jr.,SG/SF,292,0
Tyus Jones,PG,293,0
Dean Wade,PF,294,0
Nate Ament,SF,295,0
